match_id,home_team,away_team
3356797,Arsenal,Tottenham
3356800,Ipswich,Brighton
3356806,Man Utd,Southampton
3356814,Newcastle,Bournemouth
3356812,Leicester,Fulham
3356816,West Ham,Crystal Palace
3356808,Brentford,Liverpool
3356807,Arsenal,Aston Villa
3356810,Everton,Tottenham
3356813,Man Utd,Brighton
3356815,Notts Forest,Southampton
3356811,Ipswich,Man City
3356809,Chelsea,Wolves
3356824,Southampton,Newcastle
3356819,Brighton,Everton
3356817,Bournemouth,Notts Forest
3356826,Wolves,Arsenal
3356822,Liverpool,Ipswich
3356823,Man City,Chelsea
3356825,Tottenham,Leicester
3356820,Crystal Palace,Brentford
3356818,Aston Villa,West Ham
3356821,Fulham,Man Utd
3356835,Notts Forest,Brighton
3356834,Newcastle,Fulham
3356831,Everton,Leicester
3356832,Ipswich,Southampton
3356827,Bournemouth,Liverpool
3356836,Wolves,Aston Villa
3356833,Man Utd,Crystal Palace
3356829,Brentford,Tottenham
3356828,Arsenal,Man City
3356830,Chelsea,West Ham
3356838,Brighton,Chelsea
3356841,Leicester,Arsenal
3356837,Aston Villa,Ipswich
3356843,Man City,Newcastle
3356846,West Ham,Brentford
3356844,Southampton,Bournemouth
3356840,Fulham,Notts Forest
3356839,Crystal Palace,Everton
3356842,Liverpool,Wolves
3356845,Tottenham,Man Utd
3356853,Leicester,Brentford
3356850,Everton,Man Utd
3356852,Ipswich,Tottenham
3356856,Southampton,Brighton
3356847,Bournemouth,Wolves
3356851,Fulham,Crystal Palace
3356848,Arsenal,West Ham
3356849,Aston Villa,Chelsea
3356855,Newcastle,Notts Forest
3356854,Man City,Liverpool
3356862,Wolves,Fulham
3356858,Brighton,Bournemouth
3356863,Crystal Palace,Aston Villa
3356864,Chelsea,Southampton
3356860,Tottenham,Man City
3356859,Notts Forest,Arsenal
3356857,Brentford,Everton
3356866,Man Utd,Ipswich
3356865,Liverpool,Newcastle
3356861,West Ham,Leicester
3356873,Notts Forest,Man City
3356870,Crystal Palace,Ipswich
3356868,Brighton,Fulham
3356871,Liverpool,Southampton
3356867,Brentford,Aston Villa
3356876,Wolves,Everton
3356874,Tottenham,Bournemouth
3356869,Chelsea,Leicester
3356872,Man Utd,Arsenal
3356875,West Ham,Newcastle
3356879,Aston Villa,Liverpool
3356884,Man City,Brighton
3356880,Everton,West Ham
3356882,Ipswich,Notts Forest
3356886,Southampton,Wolves
3356877,Bournemouth,Brentford
3356881,Fulham,Tottenham
3356878,Arsenal,Chelsea
3356883,Leicester,Man Utd
