Unnamed: 0;NAME;TEAM;POS;NAT;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;FOULS;FOULED;TACKLES ATT/WON;AERIALS ATT/WON;DUELS ATT/WON;CLEAR;ERR CHANCE;ERR GOAL;POSS LOST;OFFSIDE;TOUCHES;INTERCEP;RECOV;LAST MAN TACKLE;PASSES;PASS COMP %;FINAL THIRD;LONG BALL;PEN;SHOTS;ON TARGET;BLOCKED;DRIBBLES;TOUCHES IN BOX;BIG CHANCE;CROSSES;SAVES;GOALS CON;PEN CON;PEN SAVE;DECISIVE;FIRST;EQUALISER;PEN WON;RATING
;E. Martínez;;GK;;Argentina;90;-;-;1;-;-;-;0/0;0/0;0/0;1;-;-;2;-;25;-;8;-;17;94%;1;5;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;5.8
;L. Bogarde;;DR;;Netherlands;90;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;E. Konsa;;DCR;;England;90;-;-;-;-;-;2;2/2;1/0;5/4;4;-;-;5;-;82;-;2;1;71;94%;10;5;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;7.4
;Pau Torres;;DCL;;Spain;90;-;-;-;-;-;1;0/0;5/2;5/2;3;-;-;15;-;130;2;7;-;121;88%;32;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.1
;L. Digne;;DL;;France;69;-;1;-;-;2;1;2/2;1/1;9/5;-;-;-;11;-;74;-;1;-;53;89%;19;-;-;-;-;-;1;1;2;8;-;-;-;-;-;-;-;-;7.9
;A. Onana;;DMCR;;Belgium;45;-;-;-;-;1;1;2/2;3/2;9/6;-;-;1;7;-;39;1;3;-;33;82%;11;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5.9
;Y. Tielemans;;DMCL;;Belgium;90;-;-;-;-;2;1;4/3;1/0;10/5;-;-;-;15;-;147;-;4;-;136;93%;63;4;-;-;-;-;-;1;1;4;-;-;-;-;-;-;-;-;8.1
;J. McGinn;;AMR;;Scotland;90;-;-;-;-;-;2;1/1;1/0;8/5;-;-;-;10;1;54;-;3;-;35;97%;15;1;-;1;-;1;2;3;-;6;-;-;-;-;-;-;-;-;6.6
;M. Rogers;;AMC;;England;90;-;-;-;-;1;1;1/0;4/0;15/4;-;-;-;15;-;48;-;2;-;27;74%;13;2;-;4;3;1;2;8;-;-;-;-;-;-;-;-;-;-;6.3
;J. Ramsey;;AML;;England;69;-;-;-;-;-;1;2/1;0/0;8/3;-;-;-;9;-;51;-;1;-;39;95%;27;-;-;2;-;1;-;3;-;-;-;-;-;-;-;-;-;-;6.3
;O. Watkins;;S;;England;84;2;-;-;-;-;-;0/0;2/2;5/2;-;-;-;6;-;19;-;1;-;6;100%;4;-;-;6;4;-;-;9;-;1;-;-;-;-;-;-;1;-;8.6
;R. Barkley;;M;;England;45;-;1;-;-;1;-;0/0;0/0;0/0;-;-;-;1;-;45;-;3;-;43;98%;14;4;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7.1
;J. Durán;;F;;Colombia;21;1;-;-;-;-;-;0/0;1/1;5/1;-;-;-;5;-;12;-;-;-;3;67%;3;-;-;3;1;-;-;2;-;-;-;-;-;-;1;-;-;-;7.0
;I. Maatsen;;D;;Netherlands;21;-;-;-;-;-;-;0/0;0/0;0/0;-;1;-;7;-;28;-;3;-;18;83%;4;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;6.3
;E. Buendía;;M;;Argentina;6;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;5;-;1;-;4;100%;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;J. Pickford;;GK;;England;90;-;-;-;-;-;-;0/0;0/0;0/0;1;-;-;10;-;42;-;10;-;31;71%;8;21;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;6.0
;A. Young;;DR;;England;90;-;-;1;-;1;1;3/2;0/0;5/4;5;-;-;5;-;40;-;4;-;23;83%;8;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.8
;J. Tarkowski;;DCR;;England;90;-;-;-;-;-;-;5/3;2/1;8/6;3;-;-;4;-;30;1;4;-;20;80%;3;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5.6
;M. Keane;;DCL;;England;90;-;-;-;-;1;-;2/2;4/3;8/5;8;-;-;8;-;42;-;4;-;29;72%;5;8;-;1;-;1;-;3;-;-;-;-;-;-;-;-;-;-;6.0
;V. Mykolenko;;DL;;Ukraine;26;-;-;-;-;-;-;1/0;1/0;3/1;1;-;-;3;-;6;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.6
;I. Guèye;;DMCR;;Senegal;64;-;-;-;-;2;-;2/1;1/0;7/2;3;-;-;3;-;20;2;-;-;10;80%;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.2
;T. Iroegbunam;;DMCL;;England;81;-;-;1;-;1;1;3/1;1/1;8/6;-;-;-;2;-;23;1;9;-;15;93%;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6.1
;J. Harrison;;AMR;;England;64;-;-;-;-;-;2;2/2;0/0;8/5;3;-;1;6;-;24;-;2;-;10;90%;3;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;5.3
;D. McNeil;;AMC;;England;90;1;1;-;-;-;-;1/1;1/0;4/1;-;-;-;14;1;40;-;2;-;24;67%;10;3;-;1;1;-;-;-;1;8;-;-;-;-;-;1;-;-;7.6
;I. Ndiaye;;AML;;Senegal;81;-;-;1;-;2;2;0/0;2/1;14/6;2;-;-;8;-;30;1;5;-;14;79%;6;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;5.6
;D. C-Lewin;;S;;England;90;1;-;-;-;2;3;0/0;7/4;16/7;-;-;-;15;2;34;-;2;-;13;69%;4;-;-;3;1;-;-;5;-;-;-;-;-;-;-;-;-;-;7.0
;J. Garner;;M;;England;64;-;-;-;-;-;-;2/2;0/0;3/2;2;-;-;7;-;32;1;-;-;21;76%;7;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6.2
;O. Mangala;;M;;Belgium;26;-;-;-;-;-;-;1/0;0/0;0/2;-;-;-;3;-;12;-;-;-;8;75%;2;-;-;1;-;-;1;2;-;1;-;-;-;-;-;-;-;-;5.8
;J. Lindstrøm;;M;;Denmark;9;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;7;-;14;-;2;-;8;88%;3;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;
;Beto;;F;;Guinea-Bissau;9;-;-;-;-;2;-;0/0;1/1;3/1;-;-;-;2;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;J. O'Brien;;D;;Republic of Ireland;26;-;-;1;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;Robert Sánchez;;GK;;Spain;90;-;-;1;-;1;-;0/0;1/1;2/1;1;-;-;13;-;63;-;12;-;47;72%;8;18;-;-;-;-;-;-;-;-;7;-;1;1;-;-;-;-;9.2
;A. Disasi;;DR;;France;61;-;-;-;-;-;-;0/0;0/0;0/0;2;-;-;9;-;64;1;2;-;52;87%;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.2
;W. Fofana;;DCR;;France;90;-;-;1;-;1;1;1/1;2/2;8/5;5;-;-;10;-;109;1;4;-;94;93%;6;2;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;7.2
;L. Colwill;;DCL;;England;90;-;-;1;-;2;-;0/0;6/4;9/4;4;-;-;11;-;71;-;2;-;61;87%;13;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.1
;Cucurella;;DL;;Spain;90;-;-;1;-;2;3;1/0;8/2;14/6;-;-;-;11;-;61;1;3;-;35;80%;17;3;-;-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;5.8
;M. Caicedo;;DMCR;;Ecuador;90;-;-;-;-;1;3;4/2;3/0;12/7;2;-;-;10;-;82;2;10;-;61;87%;13;5;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6.9
;Renato Veiga;;DMCL;;Portugal;90;-;-;1;-;1;-;3/2;2/1;10/6;-;-;-;7;-;72;-;6;-;59;90%;11;3;-;2;1;-;2;3;-;-;-;-;-;-;-;-;-;-;6.9
;N. Madueke;;AMR;;England;62;-;-;-;-;-;3;0/0;0/0;8/6;-;-;-;8;-;33;1;4;-;18;78%;2;-;-;3;-;2;3;1;-;-;-;-;-;-;-;-;-;-;6.0
;C. Palmer;;AMC;;England;90;-;-;-;-;-;4;2/1;0/0;11/8;2;-;-;12;2;49;-;3;-;30;83%;12;2;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;6.0
;Pedro Neto;;AML;;Portugal;45;-;-;-;-;-;-;0/0;2/0;4/1;-;-;-;10;-;25;-;-;-;15;67%;4;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;5.4
;N. Jackson;;S;;Senegal;79;-;-;1;-;-;-;0/0;1/0;0/0;1;-;-;11;1;28;-;1;-;14;79%;3;-;-;3;1;1;-;3;-;-;-;-;-;-;-;-;-;-;6.0
;T. Adarabioyo;;D;;England;29;-;-;-;-;-;-;1/1;0/0;0/1;1;-;-;4;-;43;-;3;-;40;93%;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.5
;João Félix;;F;;Portugal;28;-;-;1;-;1;2;0/0;1/1;7/3;-;-;-;8;-;28;-;1;-;20;75%;13;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;6.2
;C. Nkunku;;M;;France;11;1;-;-;-;-;-;0/0;0/0;0/1;-;-;-;-;-;7;-;1;-;5;100%;3;-;-;1;1;-;1;2;-;-;-;-;-;-;1;1;-;-;
;J. Sancho;;F;;England;45;-;1;1;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;M. Travers;;GK;;Republic of Ireland;90;-;-;-;-;-;-;0/0;0/0;0/0;2;-;-;7;-;23;-;4;-;15;53%;4;12;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;6.3
;A. Smith;;DR;;England;75;-;-;1;-;-;-;2/1;2/2;7/5;3;-;-;6;-;26;1;4;-;9;56%;3;3;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;6.2
;I. Zabarnyi;;DCR;;Ukraine;90;-;-;-;-;-;-;1/1;1/1;3/2;3;-;-;6;-;32;-;8;-;27;78%;7;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.5
;M. Senesi;;DCL;;Argentina;90;-;-;1;-;1;-;3/1;1/0;10/3;2;-;-;16;-;54;1;2;-;39;67%;15;14;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6.0
;M. Kerkez;;DL;;Hungary;90;-;-;-;-;1;-;2/2;0/0;4/2;4;-;-;10;-;42;2;8;-;20;80%;5;3;-;2;-;1;-;-;-;2;-;-;-;-;-;-;-;-;6.7
;L. Cook;;DMCR;;England;90;-;-;1;-;4;-;1/1;1/0;9/2;-;-;-;11;-;44;1;8;-;34;76%;12;5;-;3;1;-;1;-;-;2;-;-;-;-;-;-;-;-;6.1
;R. Christie;;DMCL;;Scotland;68;-;-;1;-;1;1;1/0;1/1;6/4;-;1;-;10;-;42;1;6;-;31;77%;13;1;-;1;-;1;1;3;-;1;-;-;-;-;-;-;-;-;5.7
;A. Semenyo;;AMR;;Ghana;90;-;-;1;-;2;3;0/0;12/6;22/11;-;-;-;14;-;44;-;7;-;27;67%;13;3;-;3;-;1;2;4;-;-;-;-;-;-;-;-;-;-;6.3
;J. Kluivert;;AMC;;Netherlands;75;-;-;1;-;4;-;1/1;2/1;10/4;1;-;-;15;1;33;2;2;-;18;50%;9;-;-;2;2;-;2;6;-;-;-;-;-;-;-;-;-;-;6.1
;M. Tavernier;;AML;;England;83;-;-;-;-;1;-;2/1;1/1;9/5;1;-;-;14;2;43;-;5;-;20;75%;12;1;-;2;1;-;2;4;-;8;-;-;-;-;-;-;-;-;6.6
;Evanilson;;S;;Brazil;68;-;-;-;-;1;3;0/0;4/2;9/5;2;-;-;3;1;18;-;2;-;7;57%;5;-;-;3;1;-;-;7;-;-;-;-;-;-;-;-;-;1;5.7
;L. Sinisterra;;F;;Colombia;22;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;4;-;11;-;1;-;6;83%;1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;5.7
;A. Scott;;F;;England;22;-;-;-;-;-;2;1/0;0/0;5/3;-;-;-;5;-;18;-;4;-;9;78%;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.7
;E. Ünal;;F;;Türkiye;7;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;P. Billing;;M;;Denmark;15;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;6;-;12;1;1;-;8;50%;6;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;
;J. Araujo;;D;;Mexico;15;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;3;-;9;1;1;-;5;80%;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;
;David Raya;;GK;;Spain;90;-;-;-;-;-;1;0/0;1/1;0/1;2;-;-;13;-;48;-;11;-;32;63%;7;21;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;8.1
;B. White;;DR;;England;90;-;-;-;-;1;1;2/1;2/1;7/4;2;-;-;9;1;48;2;-;-;31;84%;10;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6.5
;W. Saliba;;DCR;;France;90;-;-;1;-;2;2;2/1;2/1;8/5;3;-;-;1;-;45;-;3;-;35;97%;3;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6.3
;Gabriel Magalhães;;DCL;;Brazil;90;1;-;-;-;-;-;2/0;0/0;3/2;8;-;-;5;-;40;1;-;-;25;80%;5;6;-;1;1;-;-;2;-;-;-;-;-;-;1;1;-;-;7.6
;J. Timber;;DL;;Netherlands;90;-;-;1;-;2;-;3/2;4/0;12/4;3;-;-;17;-;49;1;5;-;23;52%;10;4;-;1;-;1;1;3;-;2;-;-;-;-;-;-;-;-;6.2
;T. Partey;;MCR;;Ghana;90;-;-;-;-;-;2;3/1;2/2;0/7;4;-;-;5;-;35;2;3;-;21;81%;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.6
;Jorginho;;MC;;Italy;90;-;-;1;-;2;1;1/0;1/1;8/3;-;1;-;9;-;31;-;5;-;24;79%;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.4
;G. Martinelli;;MCL;;Brazil;80;-;-;-;-;1;1;3/3;2/1;17/11;3;-;-;12;1;44;-;6;-;20;70%;10;1;-;1;1;-;6;8;-;3;-;-;-;-;-;-;-;-;7.6
;B. Saka;;WR;;England;86;-;1;-;-;-;1;2/2;1/0;11/5;1;-;-;14;-;45;-;3;-;22;82%;9;-;-;1;-;1;2;5;1;7;-;-;-;-;-;-;-;-;7.4
;K. Havertz;;S;;Germany;90;-;-;-;-;1;1;2/1;13/8;21/12;5;-;-;13;1;51;1;2;-;27;63%;9;1;-;2;2;-;1;3;-;-;-;-;-;-;-;-;-;-;7.2
;L. Trossard;;WL;;Belgium;80;-;-;-;-;-;2;1/1;0/0;10/4;-;-;-;9;-;30;1;3;-;16;75%;8;2;-;1;-;1;1;1;1;-;-;-;-;-;-;-;-;-;6.2
;R. Sterling;;F;;England;10;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;2;-;3;-;-;-;2;50%;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;
;G. Jesus;;F;;Brazil;10;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;E. Nwaneri;;M;;England;4;-;-;-;-;-;-;0/0;0/0;0/1;1;-;-;2;-;8;-;1;-;4;75%;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;
;G. Vicario;;GK;;Italy;90;-;-;1;-;-;-;0/0;0/0;0/0;2;-;-;4;-;31;-;7;-;22;82%;1;6;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;6.7
;Pedro Porro;;DR;;Spain;90;-;-;-;-;-;2;4/2;2/1;12/7;5;-;-;16;-;85;-;5;-;45;84%;21;6;-;-;-;-;-;1;-;9;-;-;-;-;-;-;-;-;6.8
;C. Romero;;DCR;;Argentina;90;-;-;-;-;1;1;2/2;3/2;8/5;3;-;-;4;-;87;1;6;-;73;96%;17;3;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;7.3
;M. van de Ven;;DCL;;Netherlands;90;-;-;1;-;1;-;1/0;10/5;13/6;7;-;-;11;-;82;1;4;-;68;90%;11;3;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;6.6
;D. Udogie;;DL;;Italy;90;-;-;1;-;2;-;3/3;2/1;10/5;2;-;-;8;-;70;-;4;-;48;92%;20;-;-;-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;6.7
;D. Kulusevski;;MCR;;Sweden;90;-;-;1;-;3;1;3/1;0/0;18/5;1;-;-;20;-;49;1;4;-;24;71%;16;-;-;3;1;1;1;6;-;5;-;-;-;-;-;-;-;-;5.8
;R. Bentancur;;MC;;Uruguay;68;-;-;1;-;1;-;0/0;0/0;0/0;2;-;-;2;-;57;2;2;-;51;96%;20;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.3
;J. Maddison;;MCL;;England;80;-;-;-;-;-;1;2/1;0/0;6/4;-;-;-;11;-;69;2;3;-;48;94%;15;4;-;-;-;-;1;3;-;11;-;-;-;-;-;-;-;-;6.5
;B. Johnson;;WR;;Wales;68;-;-;-;-;1;1;0/0;0/0;6/2;1;-;-;3;-;26;-;-;-;14;93%;9;-;-;4;1;2;1;5;-;1;-;-;-;-;-;-;-;-;5.9
;D. Solanke;;S;;England;90;-;-;-;-;4;2;2/1;9/3;19/7;-;-;-;10;-;29;-;3;-;15;73%;4;-;-;2;-;1;-;4;-;-;-;-;-;-;-;-;-;-;5.8
;Son;;WL;;Korea Republic;90;-;-;-;-;-;1;0/0;1/0;6/3;1;-;-;10;1;57;1;5;-;44;86%;19;4;-;1;-;1;2;3;-;1;-;-;-;-;-;-;-;-;6.4
;P. Sarr;;M;;Senegal;22;-;-;-;-;-;-;2/2;1/1;6/3;-;-;-;6;-;33;1;-;-;25;84%;10;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6.8
;W. Odobert;;F;;France;22;-;-;-;-;-;-;0/0;1/1;0/1;-;-;-;6;-;15;-;-;-;9;78%;7;-;-;1;-;1;-;2;-;1;-;-;-;-;-;-;-;-;5.9
;T. Werner;;F;;Germany;10;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;S. Johnstone;;GK;;England;90;-;-;-;-;-;-;0/0;1/1;0/1;-;-;-;14;-;52;-;7;-;42;67%;4;27;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;6.4
;Nélson Semedo;;DR;;Portugal;77;-;-;1;-;4;-;3/1;2/0;19/6;3;-;-;6;-;40;-;2;-;19;95%;6;-;-;1;1;-;3;1;-;1;-;-;-;-;-;-;-;-;6.0
;Y. Mosquera;;DCR;;Colombia;90;-;-;-;-;-;1;5/3;2/1;10/7;5;-;-;10;-;75;3;4;-;54;85%;5;2;-;1;-;1;-;5;-;1;-;-;-;-;-;-;-;-;6.5
;C. Dawson;;DCL;;England;90;-;-;-;-;-;-;0/0;1/1;0/1;2;-;-;12;1;64;-;1;-;58;79%;11;9;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5.5
;R. Aït-Nouri;;DL;;Algeria;86;-;-;1;-;2;-;2/1;0/0;8/6;6;-;-;8;-;66;1;3;-;40;88%;9;1;-;-;-;-;4;3;-;1;-;-;-;-;-;-;-;-;6.4
;M. Lemina;;DMR;;Gabon;90;1;-;-;-;2;-;1/1;2/2;7/5;-;-;-;7;-;46;2;6;-;31;87%;12;1;-;2;1;-;2;2;1;2;-;-;-;-;-;1;-;-;8.1
;André;;DMCR;;Brazil;77;-;-;1;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;João Gomes;;DMCL;;Brazil;90;-;-;-;-;-;1;5/3;2/0;9/6;-;-;-;4;-;63;-;7;-;53;92%;10;2;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;6.6
;J. Bellegarde;;DML;;Haiti;71;-;-;-;-;1;2;2/1;2/0;13/5;-;-;-;8;-;34;3;3;-;17;88%;6;3;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;6.3
;Matheus Cunha;;AMC;;Brazil;90;-;-;-;-;1;-;1/1;2/0;12/4;2;-;-;19;1;49;1;4;-;20;85%;7;2;-;4;2;1;3;6;-;10;-;-;-;-;-;-;-;-;6.5
;J. Strand Larsen;;S;;Norway;86;-;1;-;-;3;-;0/0;7/3;10/3;-;-;-;14;1;21;-;-;-;13;23%;4;-;-;2;1;-;-;2;1;1;-;-;-;-;-;-;-;-;6.3
;Hwang Heechan;;F;;Korea Republic;19;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;1;-;10;-;-;-;6;100%;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5.6
;M. Doherty;;D;;Republic of Ireland;13;-;-;-;-;-;-;1/1;0/0;2/1;-;-;-;5;-;15;-;1;-;9;89%;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;G. Guedes;;F;;Portugal;4;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;1;-;3;-;-;-;3;67%;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;T. Doyle;;M;;England;13;-;-;-;-;-;-;0/0;0/0;0/0;-;-;-;2;-;20;-;-;-;19;95%;9;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;
;Carlos Forbs;;F;;Portugal;4;-;-;-;-;1;-;1/1;0/0;3/2;-;-;-;7;-;13;-;-;-;9;44%;5;-;-;-;-;-;1;3;-;1;-;-;-;-;-;-;-;-;
;N. Pope;;GK;;England;90;-;-;-;-;-;-;0/0;1/1;0/1;2;-;-;10;-;41;-;5;-;31;68%;5;14;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;7.2
;V. Livramento;;DR;;England;64;-;-;-;-;2;3;5/2;2/2;14/10;1;-;-;4;-;39;-;1;-;18;89%;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.0
;F. Schär;;DCR;;Switzerland;90;1;-;-;-;-;1;0/0;7/4;8/5;7;-;-;8;-;65;1;1;-;50;86%;10;7;-;2;1;-;-;1;-;-;-;-;-;-;-;-;1;-;7.3
;D. Burn;;DCL;;England;90;-;-;1;-;-;-;2/2;5/3;7/5;3;-;-;3;-;79;-;8;-;70;97%;3;2;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;7.0
;L. Hall;;DL;;England;90;-;-;-;-;-;-;2/2;2/2;13/6;2;-;-;11;-;103;-;4;-;84;94%;23;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;-;7.6
;S. Longstaff;;MCR;;England;45;-;-;-;-;1;-;0/0;0/0;0/0;-;-;-;2;-;22;-;2;-;21;90%;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.0
;B. Guimaraes;;MC;;Brazil;87;-;1;-;-;-;3;0/0;0/0;10/5;-;-;-;8;-;50;-;2;-;39;87%;14;2;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;6.8
;Joelinton;;MCL;;Brazil;45;-;-;1;-;2;-;2/2;0/0;7/2;1;-;-;7;-;37;1;2;-;29;86%;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.2
;J. Murphy;;WR;;England;90;-;-;1;-;-;-;0/0;1/0;0/0;-;-;-;16;1;41;-;1;-;26;77%;21;2;-;1;1;-;-;3;-;2;-;-;-;-;-;-;-;-;6.1
;A. Isak;;S;;Sweden;45;-;-;-;-;1;-;0/0;1/0;0/0;-;-;-;6;-;19;-;1;-;12;75%;9;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;5.7
;A. Gordon;;WL;;England;90;-;-;-;-;-;5;0/0;0/0;14/10;-;-;-;8;-;59;1;2;-;31;97%;15;-;-;2;-;1;5;5;-;2;-;-;-;-;-;-;-;-;6.9
;H. Barnes;;M;;England;45;1;-;-;-;-;-;0/0;1/1;4/3;1;-;-;5;-;25;-;2;-;15;80%;12;1;-;3;1;1;2;5;-;1;-;-;-;-;1;-;-;-;7.3
;S. Tonali;;M;;Italy;45;-;-;-;-;-;2;1/1;0/0;4/3;1;1;-;2;-;25;2;2;-;16;94%;10;1;-;2;2;-;-;2;-;-;-;-;-;-;-;-;-;-;6.4
;K.Trippier;;D;;England;26;-;-;-;-;-;-;0/0;1/0;0/0;1;-;-;5;1;19;-;1;-;12;75%;6;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;5.9
;J. Willock;;M;;England;45;-;1;-;-;-;-;0/0;0/0;0/0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;L. Kelly;;D;;England;3;-;-;-;-;-;-;0/0;0/0;0/0;2;-;-;2;-;7;-;2;-;4;75%;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
;Robert Sánchez;;GK;;Spain;90;-;-;-;-;-;-;0/0;1/1;0/1;2;-;-;8;-;55;-;12;-;35;77%;4;13;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;9.1
;W. Fofana;;DR;;France;57;-;-;1;-;2;-;1/0;1/1;5/2;3;-;-;5;-;31;-;1;-;24;83%;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.9
;T. Adarabioyo;;DCR;;England;90;-;-;-;-;1;-;1/1;0/0;3/2;5;-;-;6;-;66;1;1;-;56;89%;1;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6.7
;L. Colwill;;DCL;;England;90;-;-;-;-;1;-;0/0;4/2;6/2;8;-;-;8;1;74;1;3;-;62;89%;4;3;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;7.3
;Cucurella;;DL;;Spain;90;-;-;1;-;1;2;3/2;2/2;11/7;7;-;-;3;-;59;2;4;-;36;94%;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.3
;M. Caicedo;;DMCR;;Ecuador;90;-;1;-;-;1;2;8/4;4/3;16/13;2;-;-;9;-;75;1;4;-;54;87%;13;5;-;1;-;1;-;1;1;2;-;-;-;-;-;-;-;-;7.9
;E. Fernández;;DMCL;;Argentina;84;-;-;-;-;2;3;1/1;4/0;15/4;1;1;-;9;-;58;1;6;-;45;89%;13;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6.2
